date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:59:23	47425/47425	---MCZ	200	added ('OK')	text/html	etag:W/%225a8ebfb7-b941%22	https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/index-onepage-construction.html	C:/Users/dimit/Codeboxx/Deliverables/Genesis/Genesis/theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/index-onepage-construction.html	(from )
14:59:23	146/146	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Sep%202020%2018:59:23%20GMT	https://theme.stepofweb.com/robots.txt		(from )
14:59:24	144877/144877	---MCZ	200	added ('OK')	text/css	etag:W/%225a603fba-235ed%22	https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/assets/plugins/bootstrap/css/bootstrap.min.css	C:/Users/dimit/Codeboxx/Deliverables/Genesis/Genesis/theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/assets/plugins/bootstrap/css/bootstrap.min.css	(from https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/index-onepage-construction.html)
14:59:24	27940/27940	---MCZ	200	added ('OK')	text/css	etag:W/%225391b08a-6d24%22	https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/assets/plugins/slider.revolution/css/extralayers.css	C:/Users/dimit/Codeboxx/Deliverables/Genesis/Genesis/theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/assets/plugins/slider.revolution/css/extralayers.css	(from https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/index-onepage-construction.html)
14:59:24	73697/73697	---MCZ	200	added ('OK')	text/css	etag:W/%225444e97c-11fe1%22	https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/assets/plugins/slider.revolution/css/settings.css	C:/Users/dimit/Codeboxx/Deliverables/Genesis/Genesis/theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/assets/plugins/slider.revolution/css/settings.css	(from https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/index-onepage-construction.html)
14:59:24	541980/541980	---MCZ	200	added ('OK')	text/css	etag:W/%225a8eafa0-8451c%22	https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/assets/css/essentials.css	C:/Users/dimit/Codeboxx/Deliverables/Genesis/Genesis/theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/assets/css/essentials.css	(from https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/index-onepage-construction.html)
14:59:24	207951/207951	---MCZ	200	added ('OK')	text/css	etag:W/%225a8eca1e-32c4f%22	https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/assets/css/layout.css	C:/Users/dimit/Codeboxx/Deliverables/Genesis/Genesis/theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/assets/css/layout.css	(from https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/index-onepage-construction.html)
14:59:25	1926/1926	---MCZ	200	added ('OK')	text/css	etag:W/%225939bbb2-786%22	https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/assets/css/header-1.css	C:/Users/dimit/Codeboxx/Deliverables/Genesis/Genesis/theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/assets/css/header-1.css	(from https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/index-onepage-construction.html)
14:59:25	14177/14177	---MCZ	200	added ('OK')	text/css	etag:W/%225a815b7e-3761%22	https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/assets/css/color_scheme/yellow.css	C:/Users/dimit/Codeboxx/Deliverables/Genesis/Genesis/theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/assets/css/color_scheme/yellow.css	(from https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/index-onepage-construction.html)
14:59:25	757/757	---M--	200	added ('OK')	image/png	etag:%225934ab8a-2f5%22	https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/assets/images/_smarty/logo_dark.png	C:/Users/dimit/Codeboxx/Deliverables/Genesis/Genesis/theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/assets/images/_smarty/logo_dark.png	(from https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/index-onepage-construction.html)
14:59:25	85851/85851	---MCZ	200	added ('OK')	text/html	etag:W/%225a8f0134-14f5b%22	https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/blog-default-aside-left.html	C:/Users/dimit/Codeboxx/Deliverables/Genesis/Genesis/theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/blog-default-aside-left.html	(from https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/index-onepage-construction.html)
14:59:25	178384/178384	---M--	200	added ('OK')	image/jpeg	etag:%2255640b96-2b8d0%22	https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/demo_files/images/yellow-min.jpg	C:/Users/dimit/Codeboxx/Deliverables/Genesis/Genesis/theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/demo_files/images/yellow-min.jpg	(from https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/index-onepage-construction.html)
14:59:26	61700/61700	---M--	200	added ('OK')	image/png	etag:%2255c6c524-f104%22	https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/demo_files/images/thematics/construction/worker-min.png	C:/Users/dimit/Codeboxx/Deliverables/Genesis/Genesis/theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/demo_files/images/thematics/construction/worker-min.png	(from https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/index-onepage-construction.html)
14:59:26	171329/171329	---M--	200	added ('OK')	image/jpeg	etag:%2255c6c4ae-29d41%22	https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/demo_files/images/thematics/construction/slider_2-min.jpg	C:/Users/dimit/Codeboxx/Deliverables/Genesis/Genesis/theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/demo_files/images/thematics/construction/slider_2-min.jpg	(from https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/index-onepage-construction.html)
14:59:26	65201/65201	---M--	200	added ('OK')	image/jpeg	etag:%2255c6c9a6-feb1%22	https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/demo_files/images/thematics/construction/c3-min.jpg	C:/Users/dimit/Codeboxx/Deliverables/Genesis/Genesis/theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/demo_files/images/thematics/construction/c3-min.jpg	(from https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/index-onepage-construction.html)
14:59:26	43485/43485	---M--	200	added ('OK')	image/jpeg	etag:%2255c6c9a6-a9dd%22	https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/demo_files/images/thematics/construction/c1-min.jpg	C:/Users/dimit/Codeboxx/Deliverables/Genesis/Genesis/theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/demo_files/images/thematics/construction/c1-min.jpg	(from https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/index-onepage-construction.html)
14:59:27	48839/48839	---M--	200	added ('OK')	image/jpeg	etag:%2255c6c9a6-bec7%22	https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/demo_files/images/thematics/construction/c2-min.jpg	C:/Users/dimit/Codeboxx/Deliverables/Genesis/Genesis/theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/demo_files/images/thematics/construction/c2-min.jpg	(from https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/index-onepage-construction.html)
14:59:27	99461/99461	---M--	200	added ('OK')	image/jpeg	etag:%225512401a-18485%22	https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/demo_files/images/1200x800/34-min.jpg	C:/Users/dimit/Codeboxx/Deliverables/Genesis/Genesis/theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/demo_files/images/1200x800/34-min.jpg	(from https://theme.stepofweb.com/Smarty/v2.2.1/HTML_BS4/index-onepage-construction.html)
